Mod:Item:MetaData, Localized Name
minecraft:wool:4, Yellow Wool
minecraft:wool:5, Lime Wool
minecraft:wool:6, Pink Wool
minecraft:wool:7, Gray Wool
minecraft:wool:8, Light Gray Wool
minecraft:wool:9, Cyan Wool
minecraft:wool:10, Purple Wool
minecraft:wool:11, Blue Wool
minecraft:wool:12, Brown Wool
minecraft:wool:13, Green Wool
minecraft:wool:14, Red Wool
minecraft:wool:15, Black Wool
minecraft:yellow_flower:0, Dandelion
minecraft:red_flower:0, Poppy
minecraft:red_flower:1, Blue Orchid
minecraft:red_flower:2, Allium
minecraft:red_flower:3, Azure Bluet
minecraft:red_flower:4, Red Tulip
minecraft:red_flower:5, Orange Tulip
minecraft:red_flower:6, White Tulip
minecraft:red_flower:7, Pink Tulip
minecraft:red_flower:8, Oxeye Daisy
minecraft:brown_mushroom, Mushroom
minecraft:red_mushroom, Mushroom
minecraft:gold_block, Block of Gold
minecraft:iron_block, Block of Iron
minecraft:stone_slab:0, Stone Slab
minecraft:stone_slab:1, Sandstone Slab
minecraft:stone_slab:3, Cobblestone Slab
minecraft:stone_slab:4, Bricks Slab
minecraft:stone_slab:5, Stone Bricks Slab
minecraft:stone_slab:6, Nether Brick Slab
minecraft:stone_slab:7, Quartz Slab
minecraft:brick_block, Bricks
minecraft:tnt, TNT
minecraft:bookshelf, Bookshelf
minecraft:mossy_cobblestone, Moss Stone
minecraft:obsidian, Obsidian
minecraft:torch, Torch
minecraft:fire, Fire
minecraft:mob_spawner:0, Monster Spawner
minecraft:oak_stairs, Oak Wood Stairs
minecraft:chest, Chest
minecraft:diamond_ore, Diamond Ore
minecraft:diamond_block, Block of Diamond
minecraft:crafting_table, Crafting Table
minecraft:farmland, Farmland
minecraft:furnace, Furnace
minecraft:lit_furnace, Furnace
minecraft:ladder, Ladder
minecraft:rail, Track
minecraft:stone_stairs, Stone Stairs
minecraft:lever, Lever
minecraft:stone_pressure_plate, Pressure Plate
minecraft:wooden_pressure_plate, Pressure Plate
minecraft:redstone_ore, Redstone Ore
minecraft:redstone_torch, Redstone Torch
minecraft:stone_button, Button
minecraft:snow_layer:0, Snow
minecraft:ice, Ice
minecraft:snow, Snow
minecraft:cactus, Cactus
minecraft:clay, Clay
minecraft:jukebox, Jukebox
minecraft:fence, Fence
minecraft:pumpkin, Pumpkin
minecraft:netherrack, Netherrack
minecraft:soul_sand, Soul Sand
minecraft:glowstone, Glowstone
minecraft:portal, Portal
minecraft:lit_pumpkin, Jack o'Lantern
minecraft:stained_glass:0, White Stained Glass
minecraft:stained_glass:1, Orange Stained Glass
minecraft:stained_glass:2, Magenta Stained Glass
minecraft:stained_glass:3, Light Blue Stained Glass
minecraft:stained_glass:4, Yellow Stained Glass
minecraft:stained_glass:5, Lime Stained Glass
minecraft:stained_glass:6, Pink Stained Glass
minecraft:stained_glass:7, Gray Stained Glass
minecraft:stained_glass:8, Light Gray Stained Glass
minecraft:stained_glass:9, Cyan Stained Glass
minecraft:stained_glass:10, Purple Stained Glass
minecraft:stained_glass:11, Blue Stained Glass
minecraft:stained_glass:12, Brown Stained Glass
minecraft:stained_glass:13, Green Stained Glass
minecraft:stained_glass:14, Red Stained Glass
minecraft:stained_glass:15, Black Stained Glass
minecraft:trapdoor, Trapdoor
minecraft:monster_egg:0, Stone Monster Egg
minecraft:monster_egg:1, Cobblestone Monster Egg
minecraft:monster_egg:2, Stone Brick Monster Egg
minecraft:monster_egg:3, Mossy Stone Brick Monster Egg
minecraft:monster_egg:4, Cracked Stone Brick Monster Egg
minecraft:monster_egg:5, Chiseled Stone Brick Monster Egg
minecraft:stonebrick:0, Stone Bricks
minecraft:stonebrick:1, Mossy Stone Bricks
minecraft:stonebrick:2, Cracked Stone Bricks
minecraft:stonebrick:3, Chiseled Stone Bricks
minecraft:brown_mushroom_block, Mushroom
minecraft:red_mushroom_block, Mushroom
minecraft:iron_bars, Iron Bars
minecraft:glass_pane, Glass Pane
minecraft:melon_block, Melon
minecraft:vine, Vines
minecraft:fence_gate, Fence Gate
minecraft:brick_stairs, Brick Stairs
minecraft:stone_brick_stairs, Stone Brick Stairs
minecraft:mycelium, Mycelium
minecraft:waterlily, Lily Pad
minecraft:nether_brick, Nether Brick
minecraft:nether_brick_fence, Nether Brick Fence
minecraft:nether_brick_stairs, Nether Brick Stairs
minecraft:enchanting_table, Enchantment Table
minecraft:end_portal, tile.null.name
minecraft:end_portal_frame, End Portal
minecraft:end_stone, End Stone
minecraft:dragon_egg, Dragon Egg
minecraft:redstone_lamp, Redstone Lamp
minecraft:wooden_slab:0, Oak Wood Slab
minecraft:wooden_slab:1, Spruce Wood Slab
minecraft:wooden_slab:2, Birch Wood Slab
minecraft:wooden_slab:3, Jungle Wood Slab
minecraft:wooden_slab:4, Acacia Wood Slab
minecraft:wooden_slab:5, Dark Oak Wood Slab
minecraft:cocoa, Cocoa
minecraft:sandstone_stairs, Sandstone Stairs
minecraft:emerald_ore, Emerald Ore
minecraft:ender_chest, Ender Chest
minecraft:tripwire_hook, Tripwire Hook
minecraft:emerald_block, Block of Emerald
minecraft:spruce_stairs, Spruce Wood Stairs
minecraft:birch_stairs, Birch Wood Stairs
minecraft:jungle_stairs, Jungle Wood Stairs
minecraft:command_block, Command Block
minecraft:beacon, Beacon
minecraft:cobblestone_wall:0, Cobblestone Wall
minecraft:cobblestone_wall:1, Mossy Cobblestone Wall
minecraft:carrots, Carrots
minecraft:potatoes, Potatoes
minecraft:wooden_button, Button
minecraft:anvil:0, Anvil
minecraft:anvil:1, Slightly Damaged Anvil
minecraft:anvil:2, Very Damaged Anvil
minecraft:trapped_chest, Trapped Chest
minecraft:light_weighted_pressure_plate, Weighted Pressure Plate (Light)
minecraft:heavy_weighted_pressure_plate, Weighted Pressure Plate (Heavy)
minecraft:daylight_detector, Daylight Sensor
minecraft:redstone_block, Block of Redstone
minecraft:quartz_ore, Nether Quartz Ore
minecraft:hopper, Hopper
minecraft:quartz_block:0, Block of Quartz
minecraft:quartz_block:1, Chiseled Quartz Block
minecraft:quartz_block:2, Pillar Quartz Block
minecraft:quartz_stairs, Quartz Stairs
minecraft:activator_rail, Activator Track
minecraft:dropper, Dropper
minecraft:stained_hardened_clay:0, White Stained Clay
minecraft:stained_hardened_clay:1, Orange Stained Clay
minecraft:stained_hardened_clay:2, Magenta Stained Clay
minecraft:stained_hardened_clay:3, Light Blue Stained Clay
minecraft:stained_hardened_clay:4, Yellow Stained Clay
minecraft:stained_hardened_clay:5, Lime Stained Clay
minecraft:stained_hardened_clay:6, Pink Stained Clay
minecraft:stained_hardened_clay:7, Gray Stained Clay
minecraft:stained_hardened_clay:8, Light Gray Stained Clay
minecraft:stained_hardened_clay:9, Cyan Stained Clay
minecraft:stained_hardened_clay:10, Purple Stained Clay
minecraft:stained_hardened_clay:11, Blue Stained Clay
minecraft:stained_hardened_clay:12, Brown Stained Clay
minecraft:stained_hardened_clay:13, Green Stained Clay
minecraft:stained_hardened_clay:14, Red Stained Clay
minecraft:stained_hardened_clay:15, Black Stained Clay
minecraft:stained_glass_pane:0, White Stained Glass Pane
minecraft:stained_glass_pane:1, Orange Stained Glass Pane
minecraft:stained_glass_pane:2, Magenta Stained Glass Pane
minecraft:stained_glass_pane:3, Light Blue Stained Glass Pane
minecraft:stained_glass_pane:4, Yellow Stained Glass Pane
minecraft:stained_glass_pane:5, Lime Stained Glass Pane
minecraft:stained_glass_pane:6, Pink Stained Glass Pane
minecraft:stained_glass_pane:7, Gray Stained Glass Pane
minecraft:stained_glass_pane:8, Light Gray Stained Glass Pane
minecraft:stained_glass_pane:9, Cyan Stained Glass Pane
minecraft:stained_glass_pane:10, Purple Stained Glass Pane
minecraft:stained_glass_pane:11, Blue Stained Glass Pane
minecraft:stained_glass_pane:12, Brown Stained Glass Pane
minecraft:stained_glass_pane:13, Green Stained Glass Pane
minecraft:stained_glass_pane:14, Red Stained Glass Pane
minecraft:stained_glass_pane:15, Black Stained Glass Pane
minecraft:leaves2:0, Acacia Leaves
minecraft:leaves2:1, Dark Oak Leaves
minecraft:log2:0, Acacia Wood
minecraft:log2:1, Dark Oak Wood
minecraft:acacia_stairs, Acacia Wood Stairs
minecraft:dark_oak_stairs, Dark Oak Wood Stairs
DCsAppleMilk:defeatedcrow.teaMakerNext, Tea Maker
DCsAppleMilk:defeatedcrow.teaMakerBlack, Black Tea Maker
DCsAppleMilk:defeatedcrow.emptyCup, Empty Tea Cup
DCsAppleMilk:defeatedcrow.emptyPanG, Clay Pan
DCsAppleMilk:defeatedcrow.filledSoupPan:0, Clay Pan
minecraft:hay_block, Hay Bale
minecraft:carpet:0, Carpet
minecraft:carpet:1, Orange Carpet
minecraft:carpet:2, Magenta Carpet
minecraft:carpet:3, Light Blue Carpet
minecraft:carpet:4, Yellow Carpet
minecraft:carpet:5, Lime Carpet
minecraft:carpet:6, Pink Carpet
minecraft:carpet:7, Gray Carpet
minecraft:carpet:8, Light Gray Carpet
minecraft:carpet:9, Cyan Carpet
minecraft:carpet:10, Purple Carpet
minecraft:carpet:11, Blue Carpet
minecraft:carpet:12, Brown Carpet
minecraft:carpet:13, Green Carpet
minecraft:carpet:14, Red Carpet
minecraft:carpet:15, Black Carpet
minecraft:hardened_clay, Hardened Clay
minecraft:coal_block, Block of Coal
minecraft:packed_ice, Packed Ice
minecraft:double_plant:0, Sunflower
minecraft:double_plant:1, Lilac
minecraft:double_plant:2, Double Tallgrass
minecraft:double_plant:3, Large Fern
minecraft:double_plant:4, Rose Bush
minecraft:double_plant:5, Peony
DCsAppleMilk:defeatedcrow.iceMaker, Ice Maker
DCsAppleMilk:defeatedcrow.teppanII, Cooking Iron Plate
DCsAppleMilk:defeatedcrow.processor, Food Processor
DCsAppleMilk:defeatedcrow.advProcessor, Hyper Jaw Crusher
DCsAppleMilk:defeatedcrow.evaporator, Evaporator
DCsAppleMilk:defeatedcrow.redGel, Red Stone Gel
DCsAppleMilk:defeatedcrow.lightGel, Yuzu Light Gel
DCsAppleMilk:defeatedcrow.yuzuBatContainer, Yuzu Battery Complex
DCsAppleMilk:defeatedcrow.gelBatContainer, Chargeable Battery Box
DCsAppleMilk:defeatedcrow.batBox, Charger Block
DCsAppleMilk:defeatedcrow.EHandle, Manual Charge Generator
DCsAppleMilk:defeatedcrow.WoodBox:0, Oak Log Box
DCsAppleMilk:defeatedcrow.WoodBox:1, Spruce Log Box
DCsAppleMilk:defeatedcrow.WoodBox:2, Birch Log Box
DCsAppleMilk:defeatedcrow.WoodBox:3, Jungle Log Box
DCsAppleMilk:defeatedcrow.WoodBox:4, Rubberwood Log Box
DCsAppleMilk:defeatedcrow.WoodBox:5, Greatwood Log Box
DCsAppleMilk:defeatedcrow.WoodBox:6, Silverwood Log Box
DCsAppleMilk:defeatedcrow.WoodBox:7, Force Wood Log Box
DCsAppleMilk:defeatedcrow.WoodBox:8, Cherry Log Box
DCsAppleMilk:defeatedcrow.WoodBox:9, Autumn Leaf Log Box
DCsAppleMilk:defeatedcrow.WoodBox:10, Japanese Cedar Log Box
DCsAppleMilk:defeatedcrow.WoodBox:11, Dark Oak Log Box
DCsAppleMilk:defeatedcrow.WoodBox:12, Acacia Log Box
DCsAppleMilk:defeatedcrow.AppleBox, Apple Box
DCsAppleMilk:defeatedcrow.VegiBag:0, Tea Leaves Bag
DCsAppleMilk:defeatedcrow.VegiBag:1, Potato Bag
DCsAppleMilk:defeatedcrow.VegiBag:2, Carrot Bag
DCsAppleMilk:defeatedcrow.VegiBag:3, Pumpkin Bag
DCsAppleMilk:defeatedcrow.VegiBag:4, Seed Bag
DCsAppleMilk:defeatedcrow.VegiBag:5, Reed Bag
DCsAppleMilk:defeatedcrow.VegiBag:6, Cactus Bag
DCsAppleMilk:defeatedcrow.VegiBag:7, Cocoa Bag
DCsAppleMilk:defeatedcrow.VegiBag:8, NetherWart Bag
DCsAppleMilk:defeatedcrow.VegiBag:9, Sugar Bag
DCsAppleMilk:defeatedcrow.cardboardBox:0, Mint Cardboard Box
DCsAppleMilk:defeatedcrow.cardboardBox:1, Cassis Cardboard Box
DCsAppleMilk:defeatedcrow.cardboardBox:2, Yuzu Cardboard Box
DCsAppleMilk:defeatedcrow.cardboardBox:3, Camellia Cardboard Box
DCsAppleMilk:defeatedcrow.cardboardBox:4, Coffee Cardboard Box
DCsAppleMilk:defeatedcrow.cardboardBox:5, Bamboo Cardboard Box
DCsAppleMilk:defeatedcrow.cardboardBox:6, Tomato Cardboard Box
DCsAppleMilk:defeatedcrow.cardboardBox:7, Grape Cardboard Box
DCsAppleMilk:defeatedcrow.Charcoalcontainer, Charcoal Container
DCsAppleMilk:defeatedcrow.GunpowderContainer:0, Gunpowder Container
DCsAppleMilk:defeatedcrow.GunpowderContainer:1, Kayaku Container
DCsAppleMilk:defeatedcrow.GunpowderContainer:2, Clay Container
DCsAppleMilk:defeatedcrow.GunpowderContainer:3, Clam Container
DCsAppleMilk:defeatedcrow.mobDropBox:0, Rotten Flesh Container
DCsAppleMilk:defeatedcrow.mobDropBox:1, Bone Container
DCsAppleMilk:defeatedcrow.mobDropBox:2, Spider Eye Container
DCsAppleMilk:defeatedcrow.mobDropBox:3, Ender Crystal Container
DCsAppleMilk:defeatedcrow.mobDropBox:4, Slime Ball Container
DCsAppleMilk:defeatedcrow.flowerPot:0, Red Flower Pot
DCsAppleMilk:defeatedcrow.flowerPot:4, Yellow Flower Pot
DCsAppleMilk:defeatedcrow.flowerVase:0, Rose Bouquet
DCsAppleMilk:defeatedcrow.flowerVase:1, Peony Bouquet
DCsAppleMilk:defeatedcrow.flowerVase:2, Lilac Bouquet
DCsAppleMilk:defeatedcrow.flowerVase:3, Sunflowers Bouquet
DCsAppleMilk:defeatedcrow.hedge:0, Boxwood Hedge
DCsAppleMilk:defeatedcrow.hedge:1, Podocarp Hedge
DCsAppleMilk:defeatedcrow.hedge:2, Photinia Hedge
DCsAppleMilk:defeatedcrow.hedge:3, Snakegourd Lattice
DCsAppleMilk:defeatedcrow.hedge:4, Osmanthus Hedge
DCsAppleMilk:defeatedcrow.hedge:6, Trifoliate Orange Hedge
DCsAppleMilk:defeatedcrow.containerBottleW:7, Water Bottle Container
DCsAppleMilk:defeatedcrow.containerSaddle:7, Saddle Container
DCsAppleMilk:defeatedcrow.saplingTea:0, Tea Sapling
DCsAppleMilk:defeatedcrow.saplingTea:1, Cassis Sapling
DCsAppleMilk:defeatedcrow.saplingTea:2, Camellia Sapling
DCsAppleMilk:defeatedcrow.teaTree:0, Tea Tree
DCsAppleMilk:defeatedcrow.teaTree:1, Grown Tea Tree
DCsAppleMilk:defeatedcrow.cassisTree:3, Cassis Fruits
DCsAppleMilk:defeatedcrow.cassisTree:7, Camellia Flowers
DCsAppleMilk:defeatedcrow.saplingYuzu, Yuzu Sapling
DCsAppleMilk:defeatedcrow.logYuzu, Yuzu Log
DCsAppleMilk:defeatedcrow.leavesYuzu:3, Yuzu Fruits
DCsAppleMilk:defeatedcrow.clamSand:0, Clam in Sand
DCsAppleMilk:defeatedcrow.cropMint, Mint Crops
DCsAppleMilk:defeatedcrow.emptyBottle, Empty Large Bottle
DCsAppleMilk:defeatedcrow.largeBottle:0, tile.defeatedcrow.largeBottle_0.name
DCsAppleMilk:defeatedcrow.blockBarrel, Brewing Barrel
DCsAppleMilk:defeatedcrow.blockDummyAlcohol:0, tile.defeatedcrow.blockDummyAlcohol_0.name
DCsAppleMilk:defeatedcrow.blockDummyAlcohol2:0, tile.defeatedcrow.blockDummyAlcohol2_0.name
DCsAppleMilk:defeatedcrow.flintBlock, Flint Block
DCsAppleMilk:defeatedcrow.chalcedony:0, Chalcedony Block
DCsAppleMilk:defeatedcrow.chalcedony:1, Orange Chalcedony Block
DCsAppleMilk:defeatedcrow.chalcedony:2, White Chalcedony Block
DCsAppleMilk:defeatedcrow.chalcedony:3, Onyx Block
DCsAppleMilk:defeatedcrow.chalcedonyLamp:0, Blue Chalcedony Glow Block
DCsAppleMilk:defeatedcrow.chalcedonyLamp:1, Orange Chalcedony Glow Block
DCsAppleMilk:defeatedcrow.chalcedonyLamp:2, White Chalcedony Glow Block
DCsAppleMilk:defeatedcrow.chalcedonyLamp:3, Onyx Glow Block
DCsAppleMilk:defeatedcrow.chalcedonyLamp:4, Blue Chalcedony Glass Lamp
DCsAppleMilk:defeatedcrow.chalcedonyLamp:5, Orange Chalcedony Glass Lamp
DCsAppleMilk:defeatedcrow.chalcedonyLamp:6, White Chalcedony Glass Lamp
DCsAppleMilk:defeatedcrow.chalcedonyLamp:7, Onyx Glass Lamp
DCsAppleMilk:defeatedcrow.chalcedonyLamp:8, Chalcedony Candlestick
DCsAppleMilk:defeatedcrow.chalcedonyLamp:9, Chalcedony Desk Lamp
DCsAppleMilk:defeatedcrow.chalcedonyLamp:10, Chalcedony Floor Lamp
DCsAppleMilk:defeatedcrow.chalcedonyLamp:11, Onyx Oriental Lamp
DCsAppleMilk:defeatedcrow.chalcedonyLampOp:0, Chalcedony Opaque Lamp
DCsAppleMilk:defeatedcrow.chalcedonyLampOp:1, Orange Chalcedony Opaque Lamp
DCsAppleMilk:defeatedcrow.chalcedonyLampOp:2, White Chalcedony Opaque Lamp
DCsAppleMilk:defeatedcrow.chalcedonyLampOp:3, Onyx Opaque Lamp
DCsAppleMilk:defeatedcrow.chalcedonyPanel, Chalcedony Pressure Plate
DCsAppleMilk:defeatedcrow.incenseBase, Incense Base
DCsAppleMilk:defeatedcrow.basket:0, Bread Basket
DCsAppleMilk:defeatedcrow.basket:5, Bread Basket
DCsAppleMilk:defeatedcrow.basket:14, Bottle Case
DCsAppleMilk:defeatedcrow.bowlRack:0, Bowl Rack
DCsAppleMilk:defeatedcrow.chopsticksBox:0, Chopsticks Holder
DCsAppleMilk:defeatedcrow.chopsticksBox:4, Chopsticks Holder
DCsAppleMilk:defeatedcrow.eggBasket:0, Egg Basket
DCsAppleMilk:defeatedcrow.eggBasket:1, Black Egg Basket
DCsAppleMilk:defeatedcrow.mushroomBox:0, Red Mushroom Box
DCsAppleMilk:defeatedcrow.mushroomBox:1, Brown Mushroom Box
DCsAppleMilk:defeatedcrow.melonBomb:0, Compressed Melon
DCsAppleMilk:defeatedcrow.melonSilky:0, Compressed Silky Melon
DCsAppleMilk:defeatedcrow.wipeBox:0, Wipe Box
DCsAppleMilk:defeatedcrow.wipeBox:1, Kimwipes
DCsAppleMilk:defeatedcrow.wipeBox2, Large paper Box
DCsAppleMilk:defeatedcrow.rotaryDial, Rotary Dial Phone
DCsAppleMilk:defeatedcrow.yuzuFence, Thorny Fence
DCsAppleMilk:defeatedcrow.woodPanel:0, Particle Board
DCsAppleMilk:defeatedcrow.crowFigure, Crow Figure
DCsAppleMilk:defeatedcrow.bowlBlock:0, Boiled Rice
DCsAppleMilk:defeatedcrow.bowlBlock:1, Mushroom Stew
DCsAppleMilk:defeatedcrow.bowlBlock:2, Salmon Stew
DCsAppleMilk:defeatedcrow.bowlBlock:3, Chicken Zosui (Soup Rice)
DCsAppleMilk:defeatedcrow.bowlBlock:4, Kayakumeshi (Variety Mixed Rice)
DCsAppleMilk:defeatedcrow.bowlBlock:5, Tofu-Nabe
DCsAppleMilk:defeatedcrow.bowlBlock:6, Pumpkin Soup
DCsAppleMilk:defeatedcrow.bowlBlock:7, BLT Soup
DCsAppleMilk:defeatedcrow.bowlBlock:8, Miso Soup
DCsAppleMilk:defeatedcrow.bowlBlock:9, Clam Soup
DCsAppleMilk:defeatedcrow.bowlBlock:15, Empty Bowl
DCsAppleMilk:defeatedcrow.bowlJP:0, Boiled Rice w/ Jp. Bowl
DCsAppleMilk:defeatedcrow.bowlJP:1, Mushroom Stew w/ Jp. Bowl
DCsAppleMilk:defeatedcrow.bowlJP:2, Salmon Stew w/ Jp. Bowl
DCsAppleMilk:defeatedcrow.bowlJP:3, Chicken Zosui w/ Jp. Bowl
DCsAppleMilk:defeatedcrow.bowlJP:4, Kayakumeshi w/ Jp. Bowl
DCsAppleMilk:defeatedcrow.bowlJP:5, Tofu-Nabe w/ Jp. Bowl
DCsAppleMilk:defeatedcrow.bowlJP:6, Pumpkin Soup w/ Jp. Bowl
DCsAppleMilk:defeatedcrow.bowlJP:7, BLT Soup w/ Jp. Bowl
DCsAppleMilk:defeatedcrow.bowlJP:8, Miso Soup w/ Jp. Bowl
DCsAppleMilk:defeatedcrow.bowlJP:9, Clam Soup w/ JP. Bowl
DCsAppleMilk:defeatedcrow.bowlJP:15, Empty Japanese Bowl
DCsAppleMilk:defeatedcrow.foodPlate:0, Beef Steak Plate
DCsAppleMilk:defeatedcrow.foodPlate:1, Pork Steak Plate
DCsAppleMilk:defeatedcrow.foodPlate:2, Roasted Chicken Plate
DCsAppleMilk:defeatedcrow.foodPlate:3, Roasted Clam Plate
DCsAppleMilk:defeatedcrow.chocolateGift:0, Chocolate Gift
DCsAppleMilk:defeatedcrow.chocolateGift:1, Heartfelt Chocolate Gift
DCsAppleMilk:defeatedcrow.filledCup:0, Water Cup
DCsAppleMilk:defeatedcrow.filledCup:1, Hot Milk
DCsAppleMilk:defeatedcrow.filledCup:2, Tea
DCsAppleMilk:defeatedcrow.filledCup:3, Milk Tea
DCsAppleMilk:defeatedcrow.filledCup:4, Green Tea
DCsAppleMilk:defeatedcrow.filledCup:5, Milk Green Tea
DCsAppleMilk:defeatedcrow.filledCup:6, Black Cocoa
DCsAppleMilk:defeatedcrow.filledCup:7, Milk Cocoa
DCsAppleMilk:defeatedcrow.filledCup:8, Fruits Juice
DCsAppleMilk:defeatedcrow.filledCup:9, Fruit Shakes
DCsAppleMilk:defeatedcrow.filledCup:10, Hot Lemonade
DCsAppleMilk:defeatedcrow.filledCup:11, Milk Lemonade
DCsAppleMilk:defeatedcrow.filledCup:12, Coffee
DCsAppleMilk:defeatedcrow.filledCup:13, Milk Coffee
DCsAppleMilk:defeatedcrow.filledCup2:0, Earl Gray Tea
DCsAppleMilk:defeatedcrow.filledCup2:1, Earl Gray Milk Tea
DCsAppleMilk:defeatedcrow.filledCup2:2, Apple Tea
DCsAppleMilk:defeatedcrow.filledCup2:3, Apple Milk Tea
DCsAppleMilk:defeatedcrow.filledCup2:4, Lime Juice
DCsAppleMilk:defeatedcrow.filledCup2:5, Tomato Juice
DCsAppleMilk:defeatedcrow.filledCup2:6, Berry Juice
DCsAppleMilk:defeatedcrow.filledCup2:7, Berry Shakes
DCsAppleMilk:defeatedcrow.filledCup2:8, Grape juice
DCsAppleMilk:defeatedcrow.filledCup2:9, Mint Tea
DCsAppleMilk:defeatedcrow.filledCup2:10, Hot Yuzu Drink
DCsAppleMilk:defeatedcrow.filledCup2:11, Orange Juice
DCsAppleMilk:defeatedcrow.filledCup2:12, Soda Water
DCsAppleMilk:defeatedcrow.iceCreamBlock:0, Milk Ice Cream
DCsAppleMilk:defeatedcrow.iceCreamBlock:1, Tea Ice Cream
DCsAppleMilk:defeatedcrow.iceCreamBlock:2, Green Tea Ice Cream
DCsAppleMilk:defeatedcrow.iceCreamBlock:3, Cocoa Ice Cream
DCsAppleMilk:defeatedcrow.iceCreamBlock:4, Coffee Ice Cream
DCsAppleMilk:defeatedcrow.iceCreamBlock:5, Fruit Ice Cream
DCsAppleMilk:defeatedcrow.iceCreamBlock:6, Lemon Ice Cream
DCsAppleMilk:defeatedcrow.iceCreamBlock:7, Lime Ice Cream
DCsAppleMilk:defeatedcrow.iceCreamBlock:8, Tomato Ice Cream
DCsAppleMilk:defeatedcrow.iceCreamBlock:9, Berry Ice Cream
DCsAppleMilk:defeatedcrow.iceCreamBlock:10, Grape Ice Cream
DCsAppleMilk:defeatedcrow.iceCreamBlock:11, Mint Ice Cream
DCsAppleMilk:defeatedcrow.iceCreamBlock:12, Orange Ice Cream
DCsAppleMilk:defeatedcrow.iceCreamBlock:13, Soda Ice Cream
DCsAppleMilk:defeatedcrow.alcoholCup:0, Sake
DCsAppleMilk:defeatedcrow.alcoholCup:1, Beer
DCsAppleMilk:defeatedcrow.alcoholCup:2, Wine
DCsAppleMilk:defeatedcrow.alcoholCup:3, Gin
DCsAppleMilk:defeatedcrow.alcoholCup:4, Rum
DCsAppleMilk:defeatedcrow.alcoholCup:5, Vodka
DCsAppleMilk:defeatedcrow.alcoholCup:6, Whiskey
DCsAppleMilk:defeatedcrow.alcoholCup:7, Apple Liqueur
DCsAppleMilk:defeatedcrow.alcoholCup:8, Tea Liqueur
DCsAppleMilk:defeatedcrow.alcoholCup:9, Cassis Liqueur
DCsAppleMilk:defeatedcrow.alcoholCup:10, Plum Liqueur
DCsAppleMilk:defeatedcrow.alcoholCup:11, Shothu
DCsAppleMilk:defeatedcrow.alcoholCup:12, Brandy
DCsAppleMilk:defeatedcrow.alcoholCup:13, Amaretto
DCsAppleMilk:defeatedcrow.cocktail:0, Frozen Daiquiri
DCsAppleMilk:defeatedcrow.cocktail:1, Frozen Sake
DCsAppleMilk:defeatedcrow.cocktail:2, Saketini
DCsAppleMilk:defeatedcrow.cocktail:3, Gimlet
DCsAppleMilk:defeatedcrow.cocktail:4, Black Rose
DCsAppleMilk:defeatedcrow.cocktail:5, Red Eye
DCsAppleMilk:defeatedcrow.cocktail:6, Pina Colada
DCsAppleMilk:defeatedcrow.cocktail:7, American Lemonade
DCsAppleMilk:defeatedcrow.cocktail:8, Moscow Mule
DCsAppleMilk:defeatedcrow.cocktail:9, Mint Julep
DCsAppleMilk:defeatedcrow.cocktail:10, Kir
DCsAppleMilk:defeatedcrow.cocktail:11, Cassis Milk
DCsAppleMilk:defeatedcrow.cocktail:12, Bloody Mary
DCsAppleMilk:defeatedcrow.cocktail:13, Cassis Tea Cocktail
DCsAppleMilk:defeatedcrow.cocktail:14, Double Apple
